X,Y,name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
28.182492,-28.4357006,Slabberts,,village,,,"Free State, South Africa",sagns,,,,,,,,,,,262716120,nodes
24.5841594,-29.0383306,Rietvale,,hamlet,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262715327,nodes
24.6969406,-28.5183351,Riverton,,hamlet,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262715340,nodes
24.5027747,-28.5341599,Mataleng,,hamlet,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262721273,nodes
24.5874982,-29.0249949,Motswedimosa,,hamlet,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262721541,nodes
24.8736059,-28.100839,Warrenvale,,hamlet,,,"Northern Cape, South Africa",sagns,,,,,,,,,,,262722449,nodes
28.1397818,-32.1543716,Kotana,,village,,,,,,,,,,,,,,,10699349290,nodes
28.7391223,-32.202513,Ndrimbakazi,,village,,,,,,,,,,,,,,,10699374158,nodes
28.3960587,-32.4325825,Kodidi,,village,,,,,,,,,,,,,,,10699376843,nodes
25.1602778,-33.3944444,Glenconnor,,hamlet,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262706653,nodes
23.0508333,-33.9669444,Gouna,,hamlet,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262706760,nodes
26.6548582,-27.7766995,Phathakahle,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262721918,nodes
26.5952778,-25.1919444,Ratsegae,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262715214,nodes
23.5095298,-27.2241333,Ga-Ditsane,,village,,,,,,,,,,,,,,,4917556812,nodes
23.8995564,-27.2812507,Tsamaros,,hamlet,,,,,,,,,,,,,,,4191537976,nodes
23.6843452,-27.4614882,Skerma,,hamlet,,,,,,,,,,,,,,,4190197389,nodes
23.6839504,-27.4951469,Manyeding,,village,,,,,,,,,,,,,,,4190197390,nodes
30.938111,-28.9336395,Ntunjambili,,village,,,,,,,,,,,,,,,2182427998,nodes
22.8498745,-26.5739996,Madibeng,,village,,,,,,,,,,,,,,,4185554589,nodes
25.1359891,-25.8864848,Croydon,,hamlet,,,,,,,,,,,,,,,4990259964,nodes
24.5604515,-25.778484,Mabule,,village,,,,,,,,,,,,,,,4990259958,nodes
24.6682119,-25.9099376,Matloding,,village,,,,,,,,,,,,,,,4990259960,nodes
20.815421,-26.820024,Rapples Pan,,village,,,,,,,,,,,,,,,2454868260,nodes
23.5258887,-25.8322718,Pomfret,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262721942,nodes
25.6718837,-25.4943635,,,village,,,,,,,,,,,,,,,3089092734,nodes
32.6711841,-27.548832,Sodwana Bay,,village,,,,,,,,,,,,,,,2073000645,nodes
26.4404816,-24.7856719,Morukuru Family House,,hamlet,,,,,,,,,,,,,,,2667032106,nodes
26.6633333,-25.0980556,Kayakulu,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262707419,nodes
26.9444444,-25.0669444,Motlhabe,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262712612,nodes
23.6072287,-27.9835021,Mount Carmel Game Farm,,hamlet,,,,,,,,,,,,,,,1388709987,nodes
26.7288889,-25.1733333,Batau,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262694956,nodes
