name,description,styleUrl,icon-opacity,icon-color,icon,Unit ID:,Latitude,Longitude
KMP 85/6,"{""@type"":""html"",""value"":""Unit ID:: 0219E88B<br>Latitude: -25.856611<br>Longitude:  28.953831""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219E88B,-25.856611,28.953831
KMP 85/8,"{""@type"":""html"",""value"":""Unit ID:: 0219F20C<br>Latitude: -25.856800<br>Longitude:  28.954728""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219F20C,-25.856800,28.954728
KMP 85/11,"{""@type"":""html"",""value"":""Unit ID:: 0219F6BC<br>Latitude: -25.857450<br>Longitude:  28.957839""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219F6BC,-25.857450,28.957839
KMP 85/14,"{""@type"":""html"",""value"":""Unit ID:: 0219EA1A<br>Latitude: -25.857661<br>Longitude:  28.959394""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219EA1A,-25.857661,28.959394
KMP 86/4,"{""@type"":""html"",""value"":""Unit ID:: 02841C4D<br>Latitude: -25.858661<br>Longitude:  28.964600""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,02841C4D,-25.858661,28.964600
KMP 86/10,"{""@type"":""html"",""value"":""Unit ID:: 028407FD<br>Latitude: -25.859381<br>Longitude:  28.967922""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,028407FD,-25.859381,28.967922
KMP 86/10,"{""@type"":""html"",""value"":""Unit ID:: 0284000B<br>Latitude: -25.859308<br>Longitude:  28.967172""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0284000B,-25.859308,28.967172
KMP 86/17,"{""@type"":""html"",""value"":""Unit ID:: 2.84E+06<br>Latitude: -25.860194<br>Longitude:  28.971242""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2.84E+06,-25.860194,28.971242
KMP 89/8,"{""@type"":""html"",""value"":""Unit ID:: 028434EB<br>Latitude: -25.865592<br>Longitude:  28.991436""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,028434EB,-25.865592,28.991436
KMP 89/13,"{""@type"":""html"",""value"":""Unit ID:: 2.84E+10<br>Latitude: -25.865819<br>Longitude:  28.991806""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,2.84E+10,-25.865819,28.991806
KMP 91/9,"{""@type"":""html"",""value"":""Unit ID:: 0219EB8F<br>Latitude: -25.878514<br>Longitude:  29.010500""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219EB8F,-25.878514,29.010500
KMP 91/9,"{""@type"":""html"",""value"":""Unit ID:: 0219FC81<br>Latitude: -25.878514<br>Longitude:  29.010500""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219FC81,-25.878514,29.010500
KMP 91/12,"{""@type"":""html"",""value"":""Unit ID:: 0219FC45<br>Latitude: -25.878614<br>Longitude:  29.011736""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219FC45,-25.878614,29.011736
KMP 91/15,"{""@type"":""html"",""value"":""Unit ID:: 0283E8D8<br>Latitude: -25.878572<br>Longitude:  29.012475""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283E8D8,-25.878572,29.012475
KMP 92/14,"{""@type"":""html"",""value"":""Unit ID:: 0283E09C<br>Latitude: -25.879386<br>Longitude:  29.019450""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283E09C,-25.879386,29.019450
KMP 93/4,"{""@type"":""html"",""value"":""Unit ID:: 0219FA1A<br>Latitude: -25.882331<br>Longitude:  29.025103""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219FA1A,-25.882331,29.025103
KMP 93/7,"{""@type"":""html"",""value"":""Unit ID:: 0219EA42<br>Latitude: -25.882883<br>Longitude:  29.026517""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219EA42,-25.882883,29.026517
KMP 93/7,"{""@type"":""html"",""value"":""Unit ID:: 0219EE85<br>Latitude: -25.882883<br>Longitude:  29.026517""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219EE85,-25.882883,29.026517
KMP 91/12,"{""@type"":""html"",""value"":""Unit ID:: 0283DB72<br>Latitude: -25.878583<br>Longitude:  29.011661""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283DB72,-25.878583,29.011661
KMP 91/15,"{""@type"":""html"",""value"":""Unit ID:: 0283FBBA<br>Latitude: -25.878572<br>Longitude:  29.012475""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283FBBA,-25.878572,29.012475
KMP 92/3,"{""@type"":""html"",""value"":""Unit ID:: 02840F6F<br>Latitude: -25.878497<br>Longitude:  29.013886""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,02840F6F,-25.878497,29.013886
KMP 92/6,"{""@type"":""html"",""value"":""Unit ID:: 0219F014<br>Latitude: -25.878564<br>Longitude:  29.015317""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219F014,-25.878564,29.015317
KMP 92/6,"{""@type"":""html"",""value"":""Unit ID:: 0219FE64<br>Latitude: -25.878564<br>Longitude:  29.015317""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219FE64,-25.878564,29.015317
KMP 92/3,"{""@type"":""html"",""value"":""Unit ID:: 0283DF47<br>Latitude: -25.878497<br>Longitude:  29.013886""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283DF47,-25.878497,29.013886
KMP 92/9,"{""@type"":""html"",""value"":""Unit ID:: 02840DB6<br>Latitude: -25.878558<br>Longitude:  29.016142""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,02840DB6,-25.878558,29.016142
KMP 92/9,"{""@type"":""html"",""value"":""Unit ID:: 0283E3BF<br>Latitude: -25.879747<br>Longitude:  29.019678""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283E3BF,-25.879747,29.019678
KMP 92/12,"{""@type"":""html"",""value"":""Unit ID:: 0283EDC5<br>Latitude: -25.878739<br>Longitude:  29.017281""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0283EDC5,-25.878739,29.017281
KMP 92/12,"{""@type"":""html"",""value"":""Unit ID:: 0219F0A6<br>Latitude: -25.878739<br>Longitude:  29.017281""}",#icon-1660-F9A825,1,#f9a825,https://www.gstatic.com/mapspro/images/stock/503-wht-blank_maps.png,0219F0A6,-25.878739,29.017281
