Name,Latitude,Longitude,Description,Open
Arnot Relay Room,-25.77778921831736,29.77467680934014,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.20.57.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.20.46.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.20.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.20.22.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.20.14.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.19.46.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.19.26.jpeg"">",1
Hillside Relay Room,-25.82088290579776,29.3589421814078,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 09.12.44.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 09.12.17.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 09.12.06.jpeg"">",1
Olifantsrivier Relay Room,-25.81359866890496,29.29770879787302,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.57.00.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.56.35.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.54.30.jpeg"">Olifantsrivier Relay Room. Fence not intact.",1
Eastbank Relay Room,-25.85426650889974,29.22187294661956,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-08-15 at 10.48.40.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-08-15 at 10.48.39.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-08-15 at 10.48.37.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-08-15 at 10.48.38.jpeg"">",1
Wakefield Relay Room,-25.8860773,29.06647939999999,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 12.01.23.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 12.00.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 12.00.42.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 12.00.20.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 12.00.05.jpeg"">",1
Wakefield Substation,-25.88644679478572,29.05883065827536,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 11.25.35.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 11.25.06.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 11.24.39.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 11.24.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 11.23.38(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 11.23.08(1).jpeg"">",1
Relay Room (In Use),-25.84625456809389,28.93890754593286,"Holes in fence and lot of digging.<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 09.16.38.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 09.15.19.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 09.15.05.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 09.14.45.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 09.14.33.jpeg"">",1
Wilgerivier Relay Room,-25.82101760000002,28.85339080000001,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.29.47.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.28.08.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.28.00.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.27.37.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.27.21.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.27.14.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.26.58.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.26.45.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 16.26.31.jpeg"">",1
Bronkospruit Relay Room (In Use),-25.79529867980849,28.74370616438906,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.57.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.57.12(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.57.12.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.57.50.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.58.37.jpeg"">",1
Zithobeni Relay Room (In Use but Damaged),-25.79110486020805,28.71459730016267,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.07.15.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.06.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.06.25.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.06.15.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.05.52.jpeg"">",1
Relay Room (In Use),-25.77631659206044,28.64525623576533,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.12.30(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.12.04(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.11.57(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.11.17(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.11.05(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.10.49(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.10.39(2).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.10.30(2).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.10.23(2).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 14.09.57(2).jpeg"">",1
Relay Room (In Use),-25.76835657975085,28.62522352660646,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.34.18(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.34.16(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.34.15(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.34.13(2).jpeg"">",1
Forfar Relay Room (In Use),-25.7665944,28.62082339999999,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.22.38(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.22.09(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.21.48(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.21.35.jpeg"">",1
Relay Room (In use),-25.76491197143842,28.57275909901322,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 12.20.48.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 12.21.15.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 12.22.55.jpeg"">",1
​Van Der Merwe Relay Room,-25.72663326992927,28.49442919732612,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-14 at 11.49.51.jpeg"">",1
