Name,Latitude,Longitude,Open,Description
Impala Relay Room,-25.46595555555556,31.58841944444444,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.31.26.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.31.00.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.30.46.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.30.35.jpeg"">"
Malelane 2 Relay Room KMP 173/10,-25.47224108467567,31.56436367433487,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.49.01.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.49.25.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.49.50.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 15.50.46.jpeg"">"
Malelane Relay Room (Wall Damaged),-25.50483235388597,31.46553289595859,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.30.43(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.30.43.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.30.42.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 09.28.53.jpeg"">

Overgrown Vegetation around Relay Room"
Althorpe Substation,-25.52003020539097,31.41599484150639,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.39.44(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.39.44.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.39.29.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.39.03.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.38.54.jpeg"">. Access from N4."
Rockvale Relay Room,-25.52224444444445,31.40794166666667,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.28.06.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.27.41.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.27.04.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-21 at 08.26.54.jpeg"">

Gate not locked"
Kaapmuiden Tie,-25.53245833333333,31.33858118281208,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 17.14.05.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 17.13.40.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 17.13.22.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 17.13.06.jpeg"">"
Kaapmuiden Relay Room - RRB,-25.53294570776925,31.33930365140599,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 17.17.10.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 17.16.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 17.16.24.jpeg"">


Overgrown Bushes"
Kaapmuiden Relay Room,-25.52562786170071,31.3363412713093,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-22 at 08.07.11.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-22 at 08.06.23.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-22 at 08.06.05.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-22 at 08.05.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-22 at 08.05.30.jpeg"">"
Boulders,-25.54427352614058,31.30455255659832,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.49.07.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.48.10.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.47.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.45.23.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.45.13.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 16.44.46.jpeg"">"
Granietpoort Relay room.,-25.50933200012321,31.19788741760928,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.45.20(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.45.20.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.45.21(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.45.21.jpeg"">"
Granietpoort Substaion,-25.50608202494499,31.19420942367269,1,
Krokodilspoort Relay Room,-25.49333297486261,31.16372057227109,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.11.20.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.11.09.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.10.54.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 12.10.42.jpeg"">"
Karino Substation.,-25.47294800800826,31.10235928261995,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.05.58(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.05.58.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.05.33.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.05.17.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-20 at 11.05.09.jpeg"">


Karino Substation. Fence in back overgrown. Fence 90% intact."
