Name,Latitude,Longitude,Open,Description
Sunbury Substation,-25.75835936607728,29.98989589552966,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.21.56.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.21.44.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.21.14(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.20.36.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.20.35.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.20.34.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.20.33(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.20.33.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.20.32.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.20.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 15.21.14.jpeg"">


No power at substation  Sunbury. Trenches everywhere signal cable stolen"
Wonderfontein Substation,-25.80919577271146,29.89213613605492,1,
Arnot Substation,-25.78064110285399,29.78399854159634,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.07.07.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.07.27.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 11.07.36.jpeg"">"
Cashome Relay Room (Vandalised),-25.7632684377329,29.71439451454521,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 12.31.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 12.30.42.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 12.30.21.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 12.29.52.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 12.29.36.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 12.28.53.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 12.28.41.jpeg"">"
Pan Substation,-25.75981484139565,29.66892393103362,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.15.28(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.14.38(2).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.14.38(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.14.24(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.13.36(1).jpeg"">"
Dewent Substation,-25.7502170618517,29.55630999116278,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.35.05(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.34.57(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.34.12(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.33.26(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.33.12(1).jpeg"">"
Derwent Relay Room,-25.75317736881336,29.55230944539263,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.16.29(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.21.22(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.21.08(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 13.20.37(1).jpeg"">"
Middelburg Substation,-25.77616856191374,29.47107048785768,1,
Uitkyk Substation,-25.82785211943732,29.41054225941803,1,"Horse stall next to substation<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 10.56.04.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 10.55.24.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 10.54.55.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-16 at 10.54.40.jpeg"">"
Olifantsrivier Substation,-25.81310848737493,29.300710428044,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 16.03.26.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 16.03.09.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 16.02.43(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 16.02.43.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 16.02.22.jpeg"">"
Leybank Relay,-25.88256354491052,29.19664010635125,1,
Witbank Substation,-25.88559871837181,29.2009247124722,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-09-12 at 08.03.28.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-09-12 at 08.03.31.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-09-12 at 08.03.30.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-09-12 at 08.03.29(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-09-12 at 08.03.29.jpeg"">"
Clewer Relay Room,-25.90226507362427,29.13389982055534,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 13.04.42.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 13.04.12.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 13.03.49.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 13.03.35.jpeg"">"
Balmoral Relay Room,-25.86156238686223,28.97642575375991,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2025-03-13 at 02.28.06.jpeg"">"
Crown Douglas Substation (In Use),-25.84740880951447,28.9221080793013,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 08.50.54.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 08.47.57.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 08.47.47.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 08.46.59.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 08.46.10.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 08.45.53.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-15 at 08.45.22.jpeg"">"
Bronkhorspruit Substation,-25.80608616073822,28.78677824653021,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.39.48.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.39.17.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.39.08.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.38.51.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.38.35.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.32.10.jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 15.31.52.jpeg"">"
Forfar Substation,-25.77288700106957,28.63306097858186,1,"<img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.48.54(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.48.43(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.48.08(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.48.01(1).jpeg""><img style=""max-width:500px;"" src=""files/WhatsApp Image 2023-06-13 at 13.47.58(1).jpeg"">

Most of the fence intact. About 3 places pallesades broken"
Weskas Relay Room,-25.87847094624358,29.20435543632743,,
Ngodwana Relay Room,-25.58719097671996,30.63258012017294,,
Boulders Relay Room,-25.54398517933799,31.30640098226826,,
Komatipoort Relay Room,-25.43816939067363,31.95520414693343,,
Nelspruit Relay Room,-25.46563441560484,30.97809469292854,,
