name,name:en,place,landuse,population,is_in,source,name:af,name:nr,name:st,name:nso,name:ssw,name:ts,name:tn,name:ve,name:xh,name:zu,osm_id,osm_type
Madibeng,,village,,,,,,,,,,,,,,,4185554589,nodes
Croydon,,hamlet,,,,,,,,,,,,,,,4990259964,nodes
Mabule,,village,,,,,,,,,,,,,,,4990259958,nodes
Matloding,,village,,,,,,,,,,,,,,,4990259960,nodes
Rapples Pan,,village,,,,,,,,,,,,,,,2454868260,nodes
Pomfret,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262721942,nodes
,,village,,,,,,,,,,,,,,,3089092734,nodes
Sodwana Bay,,village,,,,,,,,,,,,,,,2073000645,nodes
Morukuru Family House,,hamlet,,,,,,,,,,,,,,,2667032106,nodes
Kayakulu,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262707419,nodes
Motlhabe,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262712612,nodes
Mount Carmel Game Farm,,hamlet,,,,,,,,,,,,,,,1388709987,nodes
Batau,,village,,,"North West, South Africa",sagns,,,,,,,,,,,262694956,nodes
Dundee,,town,,34924,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,94825540,nodes
Mahunu,,village,,,,,,,,,,,,,,,2207841017,nodes
Port Durnford,,village,,,,,,,,,,,,,,,2207841040,nodes
Stellenbosch,,town,,60000,,sagns,,,,,,,,,,,21489671,nodes
Bekbaai,,hamlet,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719152,nodes
Bholani,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262719295,nodes
Ledig,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720950,nodes
Letlhabile,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720998,nodes
Mabobosini,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262721071,nodes
Manokwane,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721226,nodes
Mdladla,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262721308,nodes
Melkhoutfontein,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262721317,nodes
Merriespruit,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262721322,nodes
Mhole,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721326,nodes
Mmantserre,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721401,nodes
Apara,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262719102,nodes
Berseba,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262719270,nodes
Blue Rock,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262719357,nodes
Botha,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719397,nodes
Brightside,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262719480,nodes
Bronville,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262719486,nodes
Buffeljagsrivier,,town,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262719496,nodes
Chaneng,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262719640,nodes
Cumakala,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262719733,nodes
eMdlankhomo,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720060,nodes
Ga-Monlala,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720299,nodes
Haartbeesfontein,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720464,nodes
Hartbeesfontein,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720496,nodes
Homer,,town,,,"Gauteng, South Africa",sagns,,,,,,,,,,,262720604,nodes
Kagiso,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720757,nodes
Kamsogwaba,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720767,nodes
Kanana,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262720768,nodes
Kitty,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262720830,nodes
Lalini,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262720936,nodes
Lekubu,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720957,nodes
Mapetla,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721250,nodes
Moiletswane,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721458,nodes
Mothutlung,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721522,nodes
Motsheko,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721540,nodes
Ngwetsintshage,,town,,,"Mpumalanga, South Africa",sagns,,,,,,,,,,,262721639,nodes
Portobello,,town,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262721948,nodes
Qumra,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262721975,nodes
Rasimone,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721991,nodes
Rietgat,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262722022,nodes
Saaiplaas,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262722082,nodes
Sisulu Village,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722182,nodes
Thembilihle,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722274,nodes
Tlhowe,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262722288,nodes
Tolofiyeni,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722291,nodes
Tsitsing,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262722298,nodes
Velwano,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722402,nodes
Wolwefontein,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722534,nodes
Zidenge,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722547,nodes
Zindenge,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722549,nodes
Zizamele,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262722562,nodes
Kutlwanong,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262720892,nodes
Lebotlwane,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720949,nodes
Leisure Crest,,town,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,262720954,nodes
Lekwadi,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262720958,nodes
Masibambane,,town,,,"Eastern Cape, South Africa",sagns,,,,,,,,,,,262721270,nodes
Matolong,,town,,,"North West, South Africa",sagns,,,,,,,,,,,262721282,nodes
Nqutu,,town,,,"KwaZulu-Natal, South Africa",sagns,,,,,,,,,,,94823679,nodes
Tulbach Flats,,,residential,,,,,,,,,,,,,,7464521989,nodes
Bosdorp,,village,,,,,,,,,,,,,,,7410218687,nodes
Middeldeel,,town,,,"Free State, South Africa",sagns,,,,,,,,,,,262710129,nodes
Ga-Rampuru,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262720331,nodes
Maupye,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262721290,nodes
Mphela,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262721546,nodes
Rapitsi,,village,,,"Limpopo, South Africa",sagns,,,,,,,,,,,262721990,nodes
Kamberg,,village,,,,,,,,,,,,,,,2776989830,nodes
Tergniet,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722259,nodes
The Island,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,262722270,nodes
Reebok,,village,,,"Western Cape, South Africa",sagns,,,,,,,,,,,305672386,nodes
Geelhoutboomberg,,isolated_dwelling,,,,,,,,,,,,,,,799836557,nodes
